"Product no"|"Structure group identifier"|"Brand"
"Fastighet_1376556218862"|"14652000"|"DEMERX"
"Fastighet_1376556218863"|"14652000"|"DEMERX"
"Fastighet_1376556218872"|"14652000"|"DEMERX"
"Fastighet_1376556218865"|"14652000"|"DEMERX"
"Fastighet_1376556218866"|"14652000"|"DEMERX"
"Fastighet_1376556218867"|"14652000"|"DEMERX"
"Fastighet_1376556218868"|"14652000"|"DEMERX"
"Fastighet_1376556218869"|"14652000"|"DEMERX"
"Fastighet_1376556218859"|"14652000"|"DEMERX"
"Fastighet_1376556218870"|"14652000"|"DEMERX"
"Fastighet_1376556218860"|"14652000"|"DEMERX"
"Fastighet_1376556218871"|"14652000"|"DEMERX"
"Fastighet_1376556218861"|"14652000"|"DEMERX"
"VVS_1304406544847"|"73148000"|"TRIO PERFEKTA"
"VVS_1305114230270"|"1463645686881"|"ALTERNA"
"VVS_1308146137242"|"43480000"|"FMM"
"VVS_1317650915369"|"1463645686881"|"ALTERNA"
"VVS_1317631869849"|"1463645686881"|"ALTERNA"
"VVS_1319196411170"|"24600500"|"GROHE SVERIGE"
"VVS_1319196411172"|"24600500"|"GROHE SVERIGE"
"VVS_1317631869855"|"1463645686881"|"ALTERNA"
"VVS_1308821499730"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1304402517019"|"43480000"|"FMM"
"VVS_1322487368634"|"28498000"|"HOLMDAL S & CO"
"VVS_1317388637260"|"1463645686881"|"ALTERNA"
"VVS_1322487368639"|"28498000"|"HOLMDAL S & CO"
"VVS_1317388637261"|"1463645686881"|"ALTERNA"
"VVS_1317636723892"|"1463645686881"|"ALTERNA"
"VVS_1322487368651"|"28498000"|"HOLMDAL S & CO"
"VVS_1317388637262"|"1463645686881"|"ALTERNA"
"VVS_1317636723906"|"1463645686881"|"ALTERNA"
"VVS_1319182772687"|"45000000"|"MORA"
"VVS_1321265897368"|"55150000"|"REBASE"
"VVS_1317639377724"|"1463645686881"|"ALTERNA"
"VVS_1321893667492"|"43480000"|"FMM"
"VVS_1319182772690"|"24600500"|"GROHE SVERIGE"
"VVS_1322645487409"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1321518065802"|"1463645686881"|"ALTERNA"
"VVS_1322487368633"|"28498000"|"HOLMDAL S & CO"
"VVS_1324383186572"|"07580000"|"BEULCO"
"VVS_1324383186573"|"07580000"|"BEULCO"
"VVS_1325669695429"|"1463645686881"|"ALTERNA"
"VVS_1325681742235"|"1463645686881"|"ALTERNA"
"VVS_1325084604817"|"1463645686881"|"ALTERNA"
"VVS_1325084604818"|"1463645686881"|"ALTERNA"
"VVS_1327583884609"|"43480000"|"FMM"
"VVS_1328034088768"|"30760200"|"IFÖ"
"VVS_1327585145431"|"43480000"|"FMM"
"VVS_1327585145436"|"45000000"|"MORA"
"VVS_1328777420515"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1328782749709"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1328867062682"|"51360300"|"ORAS"
"VVS_1328861629986"|"51360300"|"ORAS"
"VVS_1328868162425"|"51360300"|"ORAS"
"VVS_1329306238539"|"51360300"|"ORAS"
"VVS_1328777420504"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1329294135526"|"51360300"|"ORAS"
"VVS_1328868162430"|"51360300"|"ORAS"
"VVS_1329306434481"|"51360300"|"ORAS"
"VVS_1329826251955"|"1463645686881"|"ALTERNA"
"VVS_1329294135533"|"51360300"|"ORAS"
"VVS_1329895913718"|"43480000"|"FMM"
"VVS_1328868162436"|"51360300"|"ORAS"
"VVS_1329311092664"|"51360300"|"ORAS"
"VVS_1329829238881"|"1463645686881"|"ALTERNA"
"VVS_1329294135537"|"51360300"|"ORAS"
"VVS_1329992963112"|"43480000"|"FMM"
"VVS_1328874802075"|"51360300"|"ORAS"
"VVS_1329311092669"|"51360300"|"ORAS"
"VVS_1329829238884"|"1463645686881"|"ALTERNA"
"VVS_1329998910779"|"43480000"|"FMM"
"VVS_1329294135540"|"51360300"|"ORAS"
"VVS_1329312391200"|"51360300"|"ORAS"
"VVS_1328874802082"|"51360300"|"ORAS"
"VVS_1329836430160"|"1463645686881"|"ALTERNA"
"VVS_1330430674311"|"41125000"|"LK KONSULT"
"VVS_1329299796331"|"51360300"|"ORAS"
"VVS_1329899185064"|"1463645686882"|"ALTECH"
"VVS_1329312391203"|"51360300"|"ORAS"
"VVS_1329219512470"|"51360300"|"ORAS"
"VVS_1329312969407"|"51360300"|"ORAS"
"VVS_1330668584194"|"54315000"|"PROTITE"
"VVS_1330072295438"|"43480000"|"FMM"
"VVS_1329312969414"|"51360300"|"ORAS"
"VVS_1330668584195"|"54315000"|"PROTITE"
"VVS_1329724978382"|"24597000"|"HANSGROHE"
"VVS_1331283693652"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1329983619422"|"1463645686881"|"ALTERNA"
"VVS_1330675228749"|"45000000"|"MORA"
"VVS_1330328660242"|"1463645686881"|"ALTERNA"
"VVS_1331293010459"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1329983619425"|"1463645686881"|"ALTERNA"
"VVS_1330668584185"|"58580500"|"CAPSEAL"
"VVS_1331294730448"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1330334146159"|"51360300"|"ORAS"
"VVS_1331297244242"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1331297413795"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1331887746673"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1332419303080"|"24597000"|"HANSGROHE"
"VVS_1332419523225"|"24597000"|"HANSGROHE"
"VVS_1334127409209"|"64878000"|"STOSETT"
"VVS_1334220639650"|"1463645686881"|"ALTERNA"
"VVS_1334128749138"|"1463645686881"|"ALTERNA"
"VVS_1334220639653"|"1463645686881"|"ALTERNA"
"VVS_1334300247631"|"1463645686881"|"ALTERNA"
"VVS_1334221587835"|"45000000"|"MORA"
"VVS_1334748444093"|"51360300"|"ORAS"
"VVS_1333096857409"|"45000000"|"MORA"
"VVS_1333363603919"|"45000000"|"MORA"
"VVS_1334753846158"|"19040000"|"EZZE"
"VVS_1334663646964"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1333363603922"|"45000000"|"MORA"
"VVS_1334236425078"|"35540000"|"KGC VERKTYG O MASKINER"
"VVS_1334214597927"|"1463645686881"|"ALTERNA"
"VVS_1334308574982"|"14980000"|"DURAVIT"
"VVS_1334236425083"|"45000000"|"MORA"
"VVS_1334913330800"|"1463645686881"|"ALTERNA"
"VVS_1334214597935"|"1463645686881"|"ALTERNA"
"VVS_1334838922571"|"43480000"|"FMM"
"VVS_1334908520751"|"45000000"|"MORA"
"VVS_1334823012819"|"45000000"|"MORA"
"VVS_1334308574983"|"14980000"|"DURAVIT"
"VVS_1335173370291"|"43480000"|"FMM"
"VVS_1334236425088"|"24600500"|"GROHE SVERIGE"
"VVS_1334839095881"|"45000000"|"MORA"
"VVS_1334913330801"|"1463645686881"|"ALTERNA"
"VVS_1334908520754"|"45000000"|"MORA"
"VVS_1335163438367"|"24600500"|"GROHE SVERIGE"
"VVS_1334823236673"|"43480000"|"FMM"
"VVS_1334650450809"|"1463645686881"|"ALTERNA"
"VVS_1334308574984"|"14980000"|"DURAVIT"
"VVS_1335173370293"|"43480000"|"FMM"
"VVS_1334735918984"|"1463645686881"|"ALTERNA"
"VVS_1334236425089"|"73148000"|"TRIO PERFEKTA"
"VVS_1334908520757"|"24600500"|"GROHE SVERIGE"
"VVS_1335163438371"|"24600500"|"GROHE SVERIGE"
"VVS_1334827372644"|"43480000"|"FMM"
"VVS_1334308574985"|"14980000"|"DURAVIT"
"VVS_1335173370300"|"14980000"|"DURAVIT"
"VVS_1334846699395"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1334908520758"|"24600500"|"GROHE SVERIGE"
"VVS_1334827372649"|"45000000"|"MORA"
"VVS_1335173370323"|"14980000"|"DURAVIT"
"VVS_1334743724292"|"43480000"|"FMM"
"VVS_1335253955479"|"25242000"|"GUSTAVSBERG/VÅRGÅRDA"
"VVS_1334846699400"|"24597000"|"HANSGROHE"
"VVS_1334908520763"|"24600500"|"GROHE SVERIGE"
"VVS_1335166241462"|"24600500"|"GROHE SVERIGE"
"VVS_1334835560451"|"45000000"|"MORA"
"VVS_1335173370338"|"14980000"|"DURAVIT"
"VVS_1335166241466"|"24600500"|"GROHE SVERIGE"
"VVS_1335513007784"|"43480000"|"FMM"
"VVS_1335173370345"|"14980000"|"DURAVIT"
"VVS_1335773986049"|"51360300"|"ORAS"
"VVS_1335169779275"|"24600500"|"GROHE SVERIGE"
"VVS_1335513007794"|"43480000"|"FMM"
"VVS_1335253232183"|"24600500"|"GROHE SVERIGE"
"VVS_1334913330784"|"45000000"|"MORA"
"VVS_1335173370355"|"14980000"|"DURAVIT"
"VVS_1335169779278"|"51360300"|"ORAS"
"VVS_1335253232186"|"24600500"|"GROHE SVERIGE"
"VVS_1334913330787"|"43480000"|"FMM"
"VVS_1335782988669"|"51360300"|"ORAS"
"VVS_1335773986059"|"51360300"|"ORAS"
"VVS_1335785390390"|"51360300"|"ORAS"
"VVS_1335341996137"|"24600500"|"GROHE SVERIGE"
"VVS_1335173370289"|"43480000"|"FMM"
"VVS_1335792929711"|"51360300"|"ORAS"
"VVS_1335785390393"|"51360300"|"ORAS"
"VVS_1335948037309"|"24600500"|"GROHE SVERIGE"
"VVS_1335341996140"|"24600500"|"GROHE SVERIGE"
"VVS_1335776052046"|"51360300"|"ORAS"
"VVS_1336044355173"|"43480000"|"FMM"
"VVS_1335792929716"|"51360300"|"ORAS"
"VVS_1335785390397"|"51360300"|"ORAS"
"VVS_1336126815675"|"51360300"|"ORAS"
"VVS_1335776804944"|"51360300"|"ORAS"
"VVS_1336044355181"|"43480000"|"FMM"
"VVS_1335792929717"|"51360300"|"ORAS"
"VVS_1335785390398"|"51360300"|"ORAS"
"VVS_1335345684264"|"24600500"|"GROHE SVERIGE"
"VVS_1336126815681"|"51360300"|"ORAS"
"VVS_1335963530928"|"51360300"|"ORAS"
"VVS_1336050360642"|"43480000"|"FMM"
"VVS_1335792929718"|"51360300"|"ORAS"
"VVS_1335788731916"|"51360300"|"ORAS"
"VVS_1336389058213"|"51360300"|"ORAS"
"VVS_1336130783253"|"51360300"|"ORAS"
"VVS_1335948037323"|"43480000"|"FMM"
"VVS_1336126815690"|"51360300"|"ORAS"
"VVS_1335966254414"|"51360300"|"ORAS"
"VVS_1336051963212"|"51360300"|"ORAS"
"VVS_1335792929703"|"51360300"|"ORAS"
"VVS_1335944120749"|"24600500"|"GROHE SVERIGE"
"VVS_1335954737596"|"43480000"|"FMM"
"VVS_1336130783255"|"51360300"|"ORAS"
"VVS_1336389058215"|"51360300"|"ORAS"
"VVS_1336126815691"|"51360300"|"ORAS"
"VVS_1336041102630"|"51360300"|"ORAS"
"VVS_1336118974276"|"51360300"|"ORAS"
"VVS_1335792929705"|"51360300"|"ORAS"
"VVS_1335944120780"|"24600500"|"GROHE SVERIGE"
"VVS_1336142947253"|"51360300"|"ORAS"
"VVS_1335954737598"|"51360300"|"ORAS"
"VVS_1336130783225"|"51360300"|"ORAS"
"VVS_1336390583300"|"51360300"|"ORAS"
"VVS_1336118974280"|"51360300"|"ORAS"
"VVS_1335954737600"|"51360300"|"ORAS"
"VVS_1336142947255"|"51360300"|"ORAS"
"VVS_1336130783226"|"51360300"|"ORAS"
"VVS_1336041102634"|"51360300"|"ORAS"
"VVS_1336391185495"|"51360300"|"ORAS"
"VVS_1336118974283"|"51360300"|"ORAS"
"VVS_1335954737603"|"51360300"|"ORAS"
"VVS_1336372055994"|"51360300"|"ORAS"
"VVS_1336130783231"|"51360300"|"ORAS"
"VVS_1336118974287"|"51360300"|"ORAS"
"VVS_1336372055999"|"51360300"|"ORAS"
"VVS_1336392030532"|"51360300"|"ORAS"
"VVS_1336130783234"|"51360300"|"ORAS"
