"Product no"|"Artikelnummer"|"Sekvens"|"PIMCatalogs"|"HPM Status"|"M3-status"|"Webshop"|"Anskaffn grupp"|"UNSPSC"
"Fastighet_1376556218862"|"635206"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|""
"Fastighet_1376556218863"|"635208"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"42211600"
"Fastighet_1376556218872"|"635226"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"42211600"
"Fastighet_1376556218865"|"635212"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"42211600"
"Fastighet_1376556218866"|"635216"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|""
"Fastighet_1376556218867"|"635214"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|""
"Fastighet_1376556218868"|"635218"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|"30181533"
"Fastighet_1376556218869"|"635220"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|""
"Fastighet_1376556218859"|"635200"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|""
"Fastighet_1376556218870"|"635222"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|"47131608"
"Fastighet_1376556218860"|"635202"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"42211600"
"Fastighet_1376556218871"|"635224"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Virtuellt lager (VIR)"|"31161508"
"Fastighet_1376556218861"|"635204"|""|"25-252-992"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"42211600"
"Fästteknik_1395321117564"|"201762"|""|"20-200-777"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"30181505"
"VVS_1304406544847"|"8186975"|""|"24-233-901"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"40142318"
"VVS_1304406544847"|"8186926"|""|"24-233-901"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"40142318"
"VVS_1305114230270"|"8180556"|""|"24-244-956"|"Verifierad"|"Utgående (50)"|"Nej"|"Transit artikel (TRA)"|"30181503"
"VVS_1308146137242"|"8341954"|""|"23-226-869"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"30181500"
"VVS_1317650915369"|"7394396"|""|"18-185-732"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"30181507"
"VVS_1317631869849"|"8972386"|""|"25-251-985"|"Utgått"|"Utgått (80)"|"Nej"|"Transit artikel (TRA)"|"30222607"
"VVS_1317631869849"|"8972387"|""|"25-251-985"|"Utgått"|"Utgått (80)"|"Nej"|"Transit artikel (TRA)"|"30222607"
"VVS_1317631869849"|"8972388"|""|"25-251-985"|"Verifierad"|"Utgående (50)"|"Nej"|"Lagerartikel (LAG)"|"30222607"
"VVS_1319196411170"|"8356561"|""|"23-226-870"|"Verifierad"|"Frisläppt (20)"|"Nej"|"Lagerartikel (LAG)"|"30181500"
"VVS_1319196411172"|"8097491"|""|"24-240-934"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"30181500"
"VVS_1317631869855"|"8972438"|""|"25-251-985"|"Verifierad"|"Frisläppt (20)"|"Nej"|"Transit artikel (TRA)"|""
"VVS_1317631869855"|"8972439"|""|"25-251-985"|"Verifierad"|"Frisläppt (20)"|"Nej"|"Transit artikel (TRA)"|""
"VVS_1317631869855"|"8972440"|""|"25-251-985"|"Verifierad"|"Frisläppt (20)"|"Nej"|"Transit artikel (TRA)"|""
"VVS_1317631869855"|"8972442"|""|"25-251-985"|"Verifierad"|"Frisläppt (20)"|"Nej"|"Transit artikel (TRA)"|""
"VVS_1317631869855"|"8972443"|""|"25-251-985"|"Verifierad"|"Frisläppt (20)"|"Nej"|"Transit artikel (TRA)"|""
"VVS_1308821499730"|"8473412"|""|"24-245-962"|"Verifierad"|"Frisläppt (20)"|"Ja"|"Lagerartikel (LAG)"|"30181500"
