"Product no"|"Sprak"|"Produktnamn"|"Produkttext"
"Fastighet_1376556218862"|"Svenska"|"4-krok"|""
"Fastighet_1376556218863"|"Svenska"|"Pappershållare"|""
"Fastighet_1376556218872"|"Svenska"|"Duschkorg"|""
"Fastighet_1376556218865"|"Svenska"|"Handuksstång dubbel"|""
"Fastighet_1376556218866"|"Svenska"|"Glashållare enkel"|""
"Fastighet_1376556218867"|"Svenska"|"Glashållare dubbel"|""
"Fastighet_1376556218868"|"Svenska"|"Tvåldispenser"|""
"Fastighet_1376556218869"|"Svenska"|"Reservpappershållare"|""
"Fastighet_1376556218859"|"Svenska"|"Enkelkrok"|""
"Fastighet_1376556218870"|"Svenska"|"Toaborste"|""
"Fastighet_1376556218860"|"Svenska"|"Dubbelkrok"|""
"Fastighet_1376556218871"|"Svenska"|"Hängare vridbar"|""
"Fastighet_1376556218861"|"Svenska"|"2-krok"|""
"Fästteknik_1395321117564"|"Svenska"|"WC-sits"|""
"VVS_1304406544847"|"Svenska"|"Övergångsnipplar, förkromade Trio Perfekta"|""
"VVS_1305114230270"|"Svenska"|"Takdusch Alterna Ducha IV"|"Förkromad takdusch och takduschsil i modern design. Mellan tak- och handdusch finns omkastare samt underkoppling med slang som monteras till blandare med utlopp nedåt. Takduschens 200 mm sil sprider vattnet i duschen. Praktisk handdusch medföljer."
"VVS_1308146137242"|"Svenska"|"Säkerhetsblandare för badkar 5000"|"Utan pip, med stigrör och handduschhållare. 160 c/c. Tryckbalanserad termostatblandare. Med vridomkastare inbyggd i huset. Med typgodkända backventiler. Pipanslutning utsprång från vägg: 80 mm.<CRLF>"
"VVS_1317650915369"|"Svenska"|"Duschkabin Alterna Express Exclusive, med blandare."|"Silverfärgade profiler i aluminium, härdat säkerhetsglas i 4 mm och akrylkar. Klarglas i dörrar och sidopaneler. Monteringen sker helt utan verktyg. Duschkabinen levereras med en duschpanel och duschset. Denna modell är inklusive termostatblandare. I kabinen ingår avloppssats och håltagning för armatur är gjord. Justerbara fötter och avtagbara dörrar."
"VVS_1317631869849"|"Svenska"|"Högskåp Alterna Forenza"|"Alterna Forenza är en serie badrumsmöbler med underskåp och tillhörande tvättställ i porslin. I serien finns även högskåp och spegelskåp. Möblerna finns i vitt, svart och ljus ek."
"VVS_1319196411170"|"Svenska"|"Duschblandare Grohtherm 1000"|"Duschblandare,termostat, utvändig gänga. Dimension: M26x1,5. 160 c/c."
"VVS_1319196411172"|"Svenska"|"Rapid vinkelkoppling"|"Vinkel för montering av Rapid SL på vägg.<CRLF><CRLF>"
"VVS_1317631869855"|"Svenska"|"Underskåp och tvättställ Alterna Sarconi"|"Sarconi vägghängt spegelskåp, högskåp och underskåp inklusive tvättställ i gjutmarmor. Skåp och dörrar med softclose-funktion. På högskåpen monteras dörrarna höger- eller vänsterhängda. Skåp och lådor är färdigmonterade vid leverans."
"VVS_1308821499730"|"Svenska"|"Tappventil för vägg Vatette"|"Med väggfäste, backventil. Kopplingsända med Vatette Dy15 eller planända 1/2 vändbar. Godkänd backventilsfunktion.<CRLF>"
"VVS_1304402517019"|"Svenska"|"Övergångsnippel FMM"|""
"VVS_1322487368634"|"Svenska"|"Handdusch Holmdal"|"Sparfunktion. Vit."
"VVS_1317388637260"|"Svenska"|"Spegelskåp Alterna Forenza"|"Alterna Forenza är en serie badrumsmöbler med underskåp och tillhörande tvättställ i porslin. I serien finns även högskåp och spegelskåp. Möblerna finns i vitt, svart och ljus ek."
"VVS_1322487368639"|"Svenska"|"Strålsamlare kulled"|"Invändig eller utvändig gänga."
"VVS_1317388637261"|"Svenska"|"Underskåp och tvättställ Alterna Forenza"|"Alterna Forenza är en serie badrumsmöbler med underskåp och tillhörande tvättställ i porslin. I serien finns även högskåp och spegelskåp. Möblerna finns i vitt, svart och ljus ek."
"VVS_1317636723892"|"Svenska"|"Spegelskåp Alterna Atella"|"Atella spegelskåp i 3 olika breddstorlekar och i 4 olika färger. Vit högblank, ljus ek, gråsvart och ekstav. Mått: H700xD150 mm."
"VVS_1322487368651"|"Svenska"|"Strålsamlare spar"|"Invändig eller utvändig gänga."
"VVS_1317388637262"|"Svenska"|"Badrumsbeslag Alterna S-Line"|"Alterna S-line badrumsbeslag är tillverkade i förkromad mässing."
"VVS_1317636723906"|"Svenska"|"Stödben Alterna"|"Benen passar till alla Alternamöbler. Juster- och kapbara."
"VVS_1319182772687"|"Svenska"|"Shower system kit Mora MMIX"|"Kombipaket med blyfri duschtermostat 160 c/c och familjedusch inklusive handdusch. Krom/svart.<CRLF><CRLF>"
"VVS_1321265897368"|"Svenska"|"Våtrumsbricka"|"Enkel förkromad."
"VVS_1317639377724"|"Svenska"|"Badrumsbeslag Alterna Rondo"|"Alterna Rondo badrumsbeslag är tillverkade i förkromad mässing."
"VVS_1321893667492"|"Svenska"|"Tvättställsblandare 9000 sjukhusmodell"|"Mjukstängande med keramisk tätning. Med spak 190 mm och pip 150 mm."
"VVS_1319182772690"|"Svenska"|"Duschset Tempesta Mono/Duo"|"Innefattar 600 mm duschstång, 100 mm duschhuvud, förkromad.<CRLF><CRLF>"
"VVS_1322645487409"|"Svenska"|"Tappventil för vägg Vatette"|"Kan kopplas mot Vatette fasta väggbrickor och mot de flesta rör. Godkänd backventilsfunktion."
"VVS_1321518065802"|"Svenska"|"Trekvartsfront Alterna"|"Trekvartsfront till badkar Alterna 1500 och 1600. Komplett med gavel och benställning. Exklusive utloppssats, beställs separat."
"VVS_1322487368633"|"Svenska"|"Duschslang Holmdal"|"1,75 meter. 10 liter/minuter. G15. Vit."
"VVS_1324383186572"|"Svenska"|"Anslutningsslang Termopar XL 6510"|"Anslutningsslang Termopar XL rak invändig x utvändig gänga. Anpassad till Säker Vatteninstallation. Användningsområde: tappvatten. Material: avzinkningshärdig mässing, rostfri omflätning, silikon. Arbetstemperatur: -5 °C - +90 °C. Max arbetstryck: PN10."
"VVS_1324383186573"|"Svenska"|"Anslutningsslang Termopar XL 6500"|"Anslutningsslang Termopar XL rak invändig gänga. Anpassad till Säker Vatteninstallation. Användningsområde: tappvatten. Material: avzinkningshärdig mässing, rostfri omflätning, silikon. Arbetstemperatur: -5 °C - +90 °C. Max arbetstryck: PN10."
"VVS_1325669695429"|"Svenska"|"Tvättställ Alterna Basic"|"Löst tvättställ utan blandare. För konsolmontage. Konsoler ingår inte."
"VVS_1325681742235"|"Svenska"|"Hyllfäste Alterna"|""
"VVS_1325084604817"|"Svenska"|"Glashylla Alterna"|""
"VVS_1325084604818"|"Svenska"|"Upphängning Alterna"|""
"VVS_1327583884609"|"Svenska"|"Säkerhetsblandare för dusch 9000E 40 c/c"|"Ecosafe blandare. Tryckbalanserad termostatblandare med keramisk avstängning. Typgodkända backventiler och väggtätning. Utlopp ner. Duschanslutning utsprång från vägg 55 mm."
"VVS_1328034088768"|"Svenska"|"Cera möbelpaket 2222"|"Innehåller Ifö Cera tvättställ och underskåp i vitlack med 2 luckor inklusive handtag. Blandare ingår inte. Mått: B500xH685xD435 mm. Skåp djup: 256 mm."
"VVS_1327585145431"|"Svenska"|"Duschanordning 9000E"|"1000/750 mm duschstång. Handdusch Ø 80 mm med kalkavvisande sil. Med EcoFlow 9 liter/minut, slang, duschstång och transparent tvålhylla. Duschstången har flexibelt övre väggfäste. Med väggtätning. Slang: 1,75 meter. Krom."
"VVS_1327585145436"|"Svenska"|"Duschkit Mora Rexx"|"Komplett paket med Rexx duschblandare och Shower system.Mora Rexx är essensen av skandinavisk design och funktionalitet. Serien är minimalistisk och har enkelheten i fokus. Unik teknik för komfort, säkerhet och miljö. 160 c/c.<CRLF><CRLF>"
"VVS_1328777420515"|"Svenska"|"Väggbricka Vatette"|"För koppar och rostfria rör dim 10, 12, 15."
"VVS_1328782749709"|"Svenska"|"Väggbricka 1-rörs Vatette"|"För PE-X, AluPE-X, PE RT och PB rör oavsett fabrikat."
"VVS_1328867062682"|"Svenska"|"Spolblandare Safira"|"Tvättrum/spolblandare, 150 c/c. Väggmonterad spolblandare med backventiler i inloppen samt vakuumventil och snabbkoppling för slang D13. Användarvänlig bygelspak som erbjuder god komfort för alla typer användningsområden. Inbyggd spärr för begränsning av temperatur och flöde. Skyddsmodul HD. 40 c/c installation: blandaren kan kombineras med Oras blandarfäste 40-150 c/c för utanpåliggande rördragning, Oras nr 204150, rsk 8187216."
