Artikelnummer;Type;Quality;UNC Path
100123;03-Tillagnings bild;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\images\1\100123_03.jpg
100123;03-Tillagnings bild;Produktbild;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\derivates\2\001\629\100123_03_produktbild.jpg
100123;20-Säkerhetsdatablad;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\docus\1\100123_20.pdf
100123;20-Säkerhetsdatablad;Produktbild;
052266TEST;01-Produkt bild;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\images\1\052266TEST_01.tif
052266TEST;01-Produkt bild;Produktbild;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\derivates\2\001\634\052266TEST_01_produktbild.jpg
100420;01-Produkt bild;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\images\1\100420_01.jpg
100420;01-Produkt bild;Produktbild;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\derivates\2\001\482\100420_01_produktbild.jpg
8589790933595342;02-Förpacknings bild;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\images\1\$v2\test1.jpg
8589790933595342;02-Förpacknings bild;Produktbild;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\derivates\2\001\$v2\test1_produktbild.jpg
8589790933595342;03-Tillagnings bild;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\images\1\093484_01_sv.jpg
8589790933595342;03-Tillagnings bild;Produktbild;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\derivates\2\001\093484_01_sv_produktbild.jpg
8589790933595342;20-Säkerhetsdatablad;originalimage;\\sthdcsrvb226\IMM\Volume0\opasdata\d140001\medias\docus\1\100214_20_sv.pdf
