"Product no"|"Language-attachments"|"Language-texts"|"Type"|"Quality"|"Name"|"Description"|"UNCPath"
"Fastighet_1376556218862"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\29\635206.jpg"
"Fastighet_1376556218863"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\28\635208.jpg"
"Fastighet_1376556218872"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\2\635226.jpg"
"Fastighet_1376556218865"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\26\635212.jpg"
"Fastighet_1376556218866"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\24\635216.jpg"
"Fastighet_1376556218867"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\25\635214.jpg"
"Fastighet_1376556218868"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\635218.jpg"
"Fastighet_1376556218869"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\22\635220.jpg"
"Fastighet_1376556218859"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\32\635200.jpg"
"Fastighet_1376556218870"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\21\635222.jpg"
"Fastighet_1376556218860"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\31\635202.jpg"
"Fastighet_1376556218871"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\635224.jpg"
"Fastighet_1376556218861"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\3\635204.jpg"
"VVS_1304406544847"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\21\8186926.tif"
"VVS_1305114230270"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\26\8180556.jpg"
"VVS_1308146137242"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8341954-1.jpg"
"VVS_1317650915369"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\6\7394396.jpg"
"VVS_1317631869849"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\6\8972387.jpg"
"VVS_1319196411170"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\32\8356561.tif"
"VVS_1319196411172"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\6\8097491.jpg"
"VVS_1317631869855"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\19\8972439.jpg"
"VVS_1308821499730"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\31\8473412.jpg"
"VVS_1304402517019"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\12\8912131.jpg"
"VVS_1322487368634"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\28\8183314.gif"
"VVS_1317388637260"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8971991.jpg"
"VVS_1322487368639"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\27\8242149.gif"
"VVS_1317388637261"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8972434.jpg"
"VVS_1317636723892"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8972066.jpg"
"VVS_1322487368651"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\26\8242143.gif"
"VVS_1317388637262"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\25\8740090.jpg"
"VVS_1317636723906"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\32\252150.jpg"
"VVS_1319182772687"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\24\8344165.jpg"
"VVS_1321265897368"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8531520.jpg"
"VVS_1317639377724"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\3\8740075.jpg"
"VVS_1321893667492"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\3\8235281.jpg"
"VVS_1319182772690"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\24\8181982.jpg"
"VVS_1322645487409"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\29\8473410_2.jpg"
"VVS_1321518065802"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\8\7314088.jpg"
"VVS_1322487368633"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\7\8181572.gif"
"VVS_1324383186572"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8182468.jpg"
"VVS_1324383186573"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\22\8182462.jpg"
"VVS_1325669695429"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\33\7606503.jpg"
"VVS_1327583884609"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\13\8343318.jpg"
"VVS_1328034088768"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\28\8971687.jpg"
"VVS_1327585145431"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\26\8197656.jpg"
"VVS_1327585145436"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8344164.jpg"
"VVS_1328777420515"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8550613.jpg"
"VVS_1328782749709"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\15\8550662-.jpg"
"VVS_1328867062682"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\18\8319001.jpg"
"VVS_1328861629986"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8347497.jpg"
"VVS_1328868162425"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\27\8347888.jpg"
"VVS_1329306238539"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\10\8347561.jpg"
"VVS_1328777420504"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8550664-.jpg"
"VVS_1329294135526"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\19\8319000.jpg"
"VVS_1328868162430"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\2\8613116.jpg"
"VVS_1329306434481"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\10\8347769.jpg"
"VVS_1329826251955"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\8\8972520.jpg"
"VVS_1329294135533"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\31\8343702-2.jpg"
"VVS_1329895913718"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\24\8343247.jpg"
"VVS_1328868162436"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\12\8343724.jpg"
"VVS_1329311092664"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\13\8377462.jpg"
"VVS_1329829238881"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\21\8972573.jpg"
"VVS_1329294135537"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\10\8343726.jpg"
"VVS_1329992963112"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\7\8377380.jpg"
"VVS_1328874802075"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\1\8553443.jpg"
"VVS_1329311092669"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\7\8377464.jpg"
"VVS_1329829238884"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8972574.jpg"
"VVS_1329998910779"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8377170-1.jpg"
"VVS_1329294135540"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8343738.jpg"
"VVS_1329312391200"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8378288.jpg"
"VVS_1328874802082"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\11\8553441.jpg"
"VVS_1329836430160"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8972581.jpg"
"VVS_1330430674311"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\5\7320075.jpg"
"VVS_1329299796331"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\7\8343741.jpg"
"VVS_1329899185064"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\31\8547495.jpg"
"VVS_1329312391203"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\21\8378293.jpg"
"VVS_1329219512470"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\3\8443236.jpg"
"VVS_1329312969407"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\7\8452300.jpg"
"VVS_1330072295438"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8235443.jpg"
"VVS_1329312969414"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\22\8613104-2.jpg"
"VVS_1329724978382"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\9\8227374.jpg"
"VVS_1331283693652"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\22\8425475.jpg"
"VVS_1329983619422"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\27\8972502.jpg"
"VVS_1330675228749"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8762719.jpg"
"VVS_1330328660242"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\15\181841.jpg"
"VVS_1331293010459"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8425482.jpg"
"VVS_1329983619425"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\25\8972504.jpg"
"VVS_1331294730448"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\3\8426888.tiff"
"VVS_1330334146159"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8347913.jpg"
"VVS_1331297244242"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8425462.tiff"
"VVS_1331297413795"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\2\8425484.jpg"
"VVS_1331887746673"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\23\8613100.jpg"
"VVS_1332419303080"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\2\8227346.jpg"
"VVS_1332419523225"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\22\8227443.jpg"
"VVS_1334127409209"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\9\243206.jpg"
"VVS_1334220639650"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\19\8075538.jpg"
"VVS_1334128749138"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8005813-1.jpg"
"VVS_1334220639653"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8075539.jpg"
"VVS_1334300247631"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\27\8005826-1.jpg"
"VVS_1334221587835"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8566891.jpg"
"VVS_1334748444093"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\9\8471110.jpg"
"VVS_1334753846157"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8187049.jpg"
"VVS_1333096857409"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8344037.JPG"
"VVS_1333363603919"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\13\8180922.jpg"
"VVS_1334753846158"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\8\8243024.JPG"
"VVS_1334663646964"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\18\8550670.jpg"
"VVS_1334148983003"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\26\606710.jpg"
"VVS_1333363603922"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\17\8180926.jpg"
"VVS_1334236425078"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\24\606438.jpg"
"VVS_1334214597927"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\12\8573579.JPG"
"VVS_1334308574982"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\27\8762743_4.jpg"
"VVS_1334236425083"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\28\8597270.jpg"
"VVS_1334913330800"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\21\8242274-1.jpg"
"VVS_1334214597935"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8573574.jpg"
"VVS_1334838922571"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\29\8592926.jpg"
"VVS_1334908520751"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\27\8938265.jpg"
"VVS_1334823012819"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\8\8531594.jpg"
"VVS_1334308574983"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\22\8762752.jpg"
"VVS_1335173370291"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\2\8183702.jpg"
"VVS_1334236425088"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\4\8572527.jpg"
"VVS_1334839095881"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\5\8344841.jpg"
"VVS_1334913330801"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\20\8242272.jpg"
"VVS_1334908520754"|"Svenska"|""|"Bild 1"|"originalimage"|""|""|"\\CSESV-IMMT801\IMM\Volume0\opasdata\d100001\medias\images\1\8553194.jpg"
